created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-03-15T14:14:37Z,1636007999264247800,1636007999264247810,"RT @Kingkuti_: Dear @SportyBet you need to start marking games that are in already 

We shouldn’t wait till the game ends before you mark i…","RT @Kingkuti_: Dear @SportyBet you need to start marking games that are in already 

We shouldn’t wait till the game ends before you mark i…",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,24,0,FALSE,NA,FALSE,NA,en,NA,NA,140,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:37Z,1636007998538625e3,1636007998538625026,@RashidMkhan79 Woh khud imf kay ventilator per hein 🤣,@RashidMkhan79 Woh khud imf kay ventilator per hein 🤣,FALSE,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1636002155424362500,1636002155424362497,802239358866718700,802239358866718720,RashidMkhan79,,,,NA,FALSE,0,0,FALSE,NA,FALSE,NA,en,NA,NA,53,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:37Z,1636007998433656800,1636007998433656833,"RT @RichardWellings: They'll end up printing money to pay for all this - i.e. stealing from savers. Meanwhile, ministers refuse to roll bac…","RT @RichardWellings: They'll end up printing money to pay for all this - i.e. stealing from savers. Meanwhile, ministers refuse to roll bac…",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,19,0,FALSE,NA,FALSE,NA,en,NA,NA,140,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:36Z,1636007996357595100,1636007996357595138,"RT @JWnorthstar12: 2023 GUNDAM MARCH MADNESS
SECOND ROUND - GREEN NOA REGION

#6 IO FLEMING (THUNDERBOLT)
VS
#3 CIMA GARAHAU (0083) https:/…","RT @JWnorthstar12: 2023 GUNDAM MARCH MADNESS
SECOND ROUND - GREEN NOA REGION

#6 IO FLEMING (THUNDERBOLT)
VS
#3 CIMA GARAHAU (0083) https:/…",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,24,0,FALSE,NA,FALSE,NA,en,NA,NA,140,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:36Z,1636007995799748600,1636007995799748609,"RT @chessyshopping: The beholders eye dice set is the talk of any table. With every roll, the internal eye swivels and whirls (the effect i…","RT @chessyshopping: The beholders eye dice set is the talk of any table. With every roll, the internal eye swivels and whirls (the effect i…",FALSE,,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,49,0,FALSE,NA,FALSE,NA,en,NA,NA,140,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:36Z,1636007995061698600,1636007995061698561,"RT @valentyongf_: taeyong: green light, red light
jaehyun: *fell in love* https://t.co/cNV0MEOZSl","RT @valentyongf_: taeyong: green light, red light
jaehyun: *fell in love* https://t.co/cNV0MEOZSl",FALSE,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,586,0,FALSE,NA,FALSE,NA,en,FALSE,NA,97,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:35Z,1636007993127981e3,1636007993127981059,Check out our new video about Green Card Holder's Rights and Responsibilities! https://t.co/uHfdXf6pLh,Check out our new video about Green Card Holder's Rights and Responsibilities! https://t.co/uHfdXf6pLh,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,NA,FALSE,NA,en,FALSE,NA,102,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:35Z,1636007992146493400,1636007992146493441,RT @MaldonDonmal: 🤡🤡Joey Biden Wants To Take Us Back To When He Was A Washboard Kid  👉🏼 🔥🔥🔥https://t.co/5xbyqQMkCU  🔥🔥🔥Green Energy Clampdo…,RT @MaldonDonmal: 🤡🤡Joey Biden Wants To Take Us Back To When He Was A Washboard Kid  👉🏼 🔥🔥🔥https://t.co/5xbyqQMkCU  🔥🔥🔥Green Energy Clampdo…,FALSE,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,195,0,FALSE,NA,FALSE,NA,en,FALSE,NA,140,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:35Z,1.6360079914084639e+18,1636007991408463872,"RT @NDSUathletics: Jo with a 2nd place finish &amp; Tristen tossed a career-best 12 strikeouts, making them the Vogel Law Firm Student-Athletes…","RT @NDSUathletics: Jo with a 2nd place finish &amp; Tristen tossed a career-best 12 strikeouts, making them the Vogel Law Firm Student-Athletes…",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,4,0,FALSE,NA,FALSE,NA,en,NA,NA,144,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:35Z,1636007990846161e3,1636007990846160896,RT @Haggis_UK: The Match of the Day theme tune is ringing out at College Green. 😊 https://t.co/a0CcHQM0JK,RT @Haggis_UK: The Match of the Day theme tune is ringing out at College Green. 😊 https://t.co/a0CcHQM0JK,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,936,0,FALSE,NA,FALSE,NA,en,FALSE,NA,105,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
